,Film,Country,Citation Count,Film tconst,Film Year,Citing Film,Citing Film tconst,Citing Film Year,Citing Film Country
52,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Chasing Ghosts: Beyond the Arcade (2007),tt0479879,2007,USA
53,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Cheerleader Ninjas (2002),tt0235280,2002,USA
54,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Chillerama (2011),tt1727252,2011,USA
55,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Christmas in Compton (2012),tt1957867,2012,USA
56,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Chromeskull: Laid to Rest 2 (2011),tt1792799,2011,USA
57,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Toxic Avenger Part II (1989),tt0098503,1989,USA
58,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Class of Nuke 'Em High Part II: Subhumanoid Meltdown (1991),tt0101591,1991,USA
59,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Collision Course (1989),tt0097081,1989,USA
60,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Comic Book Confidential (1988),tt0094897,1988,USA
61,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Things to Do in Denver When You're Dead (1995),tt0114660,1995,USA
62,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Contagion (2011),tt1598778,2011,USA
63,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Cooties (2014),tt2490326,2014,USA
64,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Cop Out (2010),tt1385867,2010,USA
65,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Coraline (2009),tt0327597,2009,USA
66,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Corman's World: Exploits of a Hollywood Rebel (2011),tt1185371,2011,USA
67,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Kazaam (1996),tt0116756,1996,USA
68,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Dead End (1985),tt0131260,1985,USA
69,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Disaster! (2005),tt0424958,2005,USA
70,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Divine Trash (1998),tt0150338,1998,USA
71,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Doug's 1st Movie (1999),tt0187819,1999,USA
72,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Drive Thru (2007),tt0466766,2007,USA
73,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Electric Apricot (2006),tt0482499,2006,USA
74,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Escape from Planet Earth (2013),tt0765446,2013,USA
75,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Fakin' Da Funk (1997),tt0119097,1997,USA
76,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,FartZilla (2014),tt2841528,2014,USA
77,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Waking Up in Reno (2002),tt0219400,2002,USA
78,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Mousehunt (1997),tt0119715,1997,USA
79,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Frankenweenie (2012),tt1142977,2012,USA
80,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Night of the Demons 2 (1994),tt0110667,1994,USA
81,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Gettin' It (2006),tt0483631,2006,USA
82,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Glitch! (1988),tt0095222,1988,USA
83,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Godzilla 2001 (2001),tt0317584,2001,USA
84,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Mikey (1992),tt0104870,1992,USA
85,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Gorp (1980),tt0080809,1980,USA
86,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,We Are the Strange (2007),tt0923985,2007,USA
87,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,I Hope They Serve Beer in Hell (2009),tt1220628,2009,USA
88,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Ice Age: Dawn of the Dinosaurs (2009),tt1080016,2009,USA
89,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Inspector Gadget (1999),tt0141369,1999,USA
90,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Jack (1996),tt0356752,1996,USA
91,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Jake's Booty Call (2003),tt0416873,2003,USA
92,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,One Crazy Summer (1986),tt0091680,1986,USA
93,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Mighty (1998),tt0119670,1998,USA
94,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Killswitch (2014),tt5464234,2014,USA
95,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Larry Crowne (2011),tt1583420,2011,USA
96,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Life in a Day (2011),tt1887795,2011,USA
97,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Little Big League (1994),tt0110363,1994,USA
98,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Nick of Time (1995),tt0113972,1995,USA
99,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Mad Money (2008),tt0951216,2008,USA
100,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Marilyn Hotchkiss' Ballroom Dancing & Charm School (2005),tt0409034,2005,USA
101,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Rush Hour 3 (2007),tt0293564,2007,USA
102,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,"Mirror, Mirror 2: Raven Dance (1994)",tt0110530,1994,USA
103,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Misery Loves Company (2012),tt2326156,2012,USA
104,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Monster Man (2003),tt0365513,2003,USA
105,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,My Science Project (1985),tt0089652,1985,USA
106,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Nick and Norah's Infinite Playlist (2008),tt0981227,2008,USA
107,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Persepolis (2007),tt0808417,2007,USA
108,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Pig Hunt (2008),tt1022883,2008,USA
109,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Prehysteria! (1993),tt0107870,1993,USA
110,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Quest for Camelot (1998),tt0120800,1998,USA
111,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Rugrats in Paris: The Movie - Rugrats II (2000),tt0213203,2000,USA
112,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Rectuma (2003),tt0365674,2003,USA
113,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Shark Night 3D (2011),tt1633356,2011,USA
114,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Sky Captain and the World of Tomorrow (2004),tt0346156,2004,USA
115,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Summer of Blood (2014),tt3625352,2014,USA
116,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Team Hot Wheels: The Origin of Awesome! (2014),tt3823912,2014,USA
117,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Ted 2 (2015),tt2637276,2015,USA
118,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The American Nightmare (2000),tt0259182,2000,USA
119,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,"The Death of ""Superman Lives"": What Happened? (2015)",tt2753778,2015,USA
120,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Devil and Daniel Johnston (2005),tt0436231,2005,USA
121,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Doctor Disciples (1973),tt2069945,1973,USA
122,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The LEGO Batman Movie (2017),tt4116284,2017,USA
123,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Runaways (2010),tt1017451,2010,USA
124,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Young and the Dead (2000),tt0259747,2000,USA
125,Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Waxwork II: Lost in Time (1992),tt0105792,1992,USA
126,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Superman III (1983),tt0086393,1983,USA
127,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The King of Comedy (1982),tt0085794,1982,USA
128,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Dark City (1998),tt0118929,1998,USA
129,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Star Wars: Episode I - The Phantom Menace (1999),tt0120915,1999,USA
130,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Clerks (1994),tt0109445,1994,USA
131,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,24x36: A Movie About Movie Posters (2016),tt5003654,2016,USA
132,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Dredd (2012),tt1343727,2012,USA
133,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Pacific Rim (2013),tt1663662,2013,USA
134,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,RoboCop (1987),tt0093870,1987,USA
135,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Underworld (2003),tt7969218,2003,USA
136,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Sin City (2005),tt0401792,2005,USA
137,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Game (1997),tt16673588,1997,USA
138,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Lost in Space (1998),tt0120738,1998,USA
139,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Austin Powers: International Man of Mystery (1997),tt0118655,1997,USA
140,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Batman Begins (2005),tt0372784,2005,USA
141,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Star Wars: Episode II - Attack of the Clones (2002),tt0121765,2002,USA
142,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,A Scanner Darkly (2006),tt0405296,2006,USA
143,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Demolition Man (1993),tt0106697,1993,USA
144,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Phenomenon (1996),tt0117333,1996,USA
145,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,WALL·E (2008),tt0910970,2008,USA
146,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Alien: Covenant (2017),tt2316204,2017,USA
147,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Gattaca (1997),tt0119177,1997,USA
148,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,America's Sweethearts (2001),tt0265029,2001,USA
149,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,American Fork (2007),tt0790612,2007,USA
150,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Hitcher (1986),tt0091209,1986,USA
151,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Back to the Future Part II (1989),tt0096874,1989,USA
152,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Ginger Snaps (2000),tt0210070,2000,USA
153,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Kill Bill: Vol. 2 (2004),tt0378194,2004,USA
154,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Last Action Hero (1993),tt0107362,1993,USA
155,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Mystery Science Theater 3000: The Movie (1996),tt0117128,1996,USA
156,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Minority Report (2002),tt0181689,2002,USA
157,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Avengers (1998),tt0118661,1998,USA
158,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Fight Club (1999),tt0137523,1999,USA
159,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Equilibrium (2002),tt0238380,2002,USA
160,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Purple Rain (1984),tt0087957,1984,USA
161,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Batman & Robin (1997),tt0118688,1997,USA
162,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Crow (1994),tt0109506,1994,USA
163,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Battlefield Earth (2000),tt0185183,2000,USA
164,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Be Kind Rewind (2008),tt0799934,2008,USA
165,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Judge Dredd (1995),tt0113492,1995,USA
166,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Mystery Men (1999),tt0132347,1999,USA
167,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Replicant (2001),tt0238552,2001,USA
168,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The 6th Day (2000),tt0216216,2000,USA
169,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Halloween: Resurrection (2002),tt0220506,2002,USA
170,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Identity (2003),tt0309698,2003,USA
171,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Tangled (2010),tt0398286,2010,USA
172,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Blade Runner 2049 (2017),tt1856101,2017,USA
173,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Blue Vengeance (1989),tt0205779,1989,USA
174,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Perfect Storm (2000),tt0177971,2000,USA
175,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Impostor (2001),tt0160399,2001,USA
176,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Casualties (1997),tt0118827,1997,USA
177,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Cleanflix (2009),tt1007026,2009,USA
178,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Stardust (2007),tt11154898,2007,USA
179,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Crossing Over (2009),tt0924129,2009,USA
180,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Cyborg (1989),tt0097138,1989,USA
181,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Johnny Mnemonic (1995),tt0113481,1995,USA
182,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Strange Days (1995),tt0114558,1995,USA
183,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Desperate But Not Serious (2000),tt0160182,2000,USA
184,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Freejack (1992),tt0104299,1992,USA
185,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Drew: The Man Behind the Poster (2013),tt1486843,2013,USA
186,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Drillbit Taylor (2008),tt0817538,2008,USA
187,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Droid (1988),tt0289929,1988,USA
188,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Droid Gunner (1995),tt0112906,1995,USA
189,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Dungeons & Dragons (2000),tt0190374,2000,USA
190,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Enemy of the State (1998),tt0120660,1998,USA
191,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Eragon (2006),tt0449010,2006,USA
192,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Escapes (2017),tt6815320,2017,USA
193,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,F/X (1986),tt0089118,1986,USA
194,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Face Eater (2008),tt1339085,2008,USA
195,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Fanboys (2009),tt0489049,2009,USA
196,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Book of Eli (2010),tt1037705,2010,USA
197,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Film School Confidential (2002),tt0304008,2002,USA
198,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Free Enterprise (1998),tt0141105,1998,USA
199,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Gamer (2009),tt2217809,2009,USA
200,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Getting It On (1983),tt0085588,1983,USA
201,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Guardian of the Realm (2004),tt0361679,2004,USA
202,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Guardians of the Galaxy (2014),tt2015381,2014,USA
203,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Her (2013),tt1798709,2013,USA
204,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Hollywood Homicide (2003),tt0329717,2003,USA
205,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Hunter Prey (2010),tt1270291,2010,USA
206,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Hunting Grounds (2009),tt1540423,2009,USA
207,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Lady Avenger (1988),tt0097703,1988,USA
208,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Jodorowsky's Dune (2013),tt1935156,2013,USA
209,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Lawnmower Man 2: Beyond Cyberspace (1996),tt0116839,1996,USA
210,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Libertaria (2013),tt3174208,2013,USA
211,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,"Lo and Behold, Reveries of the Connected World (2016)",tt5275828,2016,USA
212,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Los Angeles Plays Itself (2003),tt0379357,2003,USA
213,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Thirteenth Floor (1999),tt0139809,1999,USA
214,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Murder Party (2007),tt0878695,2007,USA
215,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Neon Maniacs (1986),tt0127045,1986,USA
216,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Ninja Cheerleaders (2008),tt0972857,2008,USA
217,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Pterodactyl (2005),tt0452668,2005,USA
218,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Red Cockroaches (2003),tt0389313,2003,USA
219,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Rogue One (2016),tt3748528,2016,USA
220,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Spitfire (1995),tt0111264,1995,USA
221,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Super Troopers (2001),tt0247745,2001,USA
222,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Tainted (1998),tt0128690,1998,USA
223,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Tales from the Warner Bros. Lot (2013),tt2547622,2013,USA
224,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,Terminator Genisys (2015),tt1340138,2015,USA
225,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The 24th Day (2004),tt0246404,2004,USA
226,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The People vs. George Lucas (2010),tt1325014,2010,USA
227,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Prince & Me (2004),tt0337697,2004,USA
228,Blade Runner (1982),"USA,Hong Kong",0.004851995336066499,tt0083658,1982,The Ten (2007),tt0811106,2007,USA
